,nP_share,nV_share,Platform_rev
620,0.1555,0.1,1645.0977
621,0.1545,0.105,1729.37088
622,0.1555,0.09,1838.1505
623,0.1505,0.09,1705.34944
624,0.144,0.05,1658.73624
625,0.159,0.07,1891.10052
626,0.1585,0.08,1863.9564999999998
627,0.14,0.08,1720.8413999999998
628,0.1525,0.105,1808.1757599999999
629,0.148,0.05,1727.76712
630,0.1555,0.09,1861.3004199999998
631,0.153,0.075,1645.48128
632,0.1485,0.085,1597.37088
633,0.1455,0.1,1454.2514999999999
634,0.145,0.085,1609.33088
635,0.1545,0.065,1856.4703799999997
636,0.1465,0.07,1590.10976
637,0.1445,0.03,1662.8220199999998
638,0.148,0.085,1703.2575399999998
639,0.161,0.075,1700.3516800000002
640,0.164,0.11,1699.5066
641,0.141,0.08,1347.9093599999999
642,0.1685,0.065,1612.6426399999998
643,0.15,0.1,1564.6446
644,0.153,0.08,1577.5191
645,0.1395,0.075,1372.68852
646,0.1505,0.08,1344.6331599999999
647,0.155,0.075,1457.9389999999999
648,0.1435,0.095,1437.6531
649,0.153,0.085,1668.69504
650,0.148,0.055,1737.84574
651,0.1605,0.11,1882.5058799999997
652,0.1495,0.08,1707.9444399999998
653,0.1555,0.075,1808.3614
654,0.144,0.085,1762.50384
655,0.1465,0.11,1919.7660799999999
656,0.144,0.08,1746.50904
657,0.1555,0.055,1954.2689999999998
658,0.144,0.1,1801.7506199999998
659,0.158,0.055,2141.2568
660,0.164,0.065,2296.8224
661,0.139,0.11,1857.4947999999997
662,0.151,0.085,2026.4324599999998
663,0.1535,0.065,2090.0024
664,0.1395,0.09,1891.3739999999998
665,0.154,0.07,2201.0572
666,0.15,0.09,2055.4008
667,0.1315,0.1,1767.4515999999999
668,0.159,0.095,2259.768
669,0.149,0.08,1953.9390999999998
670,0.146,0.075,1826.7678
671,0.153,0.08,1824.21492
672,0.1345,0.1,1578.70636
673,0.158,0.08,1777.84192
674,0.1385,0.095,1589.4401599999999
675,0.146,0.065,1747.08648
676,0.1485,0.085,1692.99498
677,0.1415,0.09,1561.3532800000003
678,0.1515,0.09,1779.25842
679,0.1455,0.085,1680.56322
680,0.163,0.085,1808.1152
681,0.148,0.1,1501.8843
682,0.148,0.08,1630.7100799999998
683,0.1395,0.1,1423.7109
684,0.1315,0.09,1350.2685
685,0.149,0.065,1637.87488
686,0.148,0.08,1569.1763999999998
687,0.1445,0.075,1365.8724799999998
688,0.138,0.08,1430.7156
689,0.147,0.1,1612.39104
690,0.1475,0.09,1699.57262
691,0.1495,0.11,1751.5249600000002
692,0.1485,0.1,1790.64264
693,0.148,0.09,1624.8752
694,0.1645,0.075,1848.23744
695,0.143,0.08,1452.0614999999998
696,0.1405,0.065,1515.66848
697,0.1635,0.085,1717.3962000000001
698,0.1415,0.085,1436.4851999999998
699,0.1445,0.07,1565.3084800000001
700,0.1525,0.095,1761.83552
701,0.1555,0.075,1663.2992
702,0.157,0.08,1780.15616
703,0.149,0.05,1566.4191
704,0.139,0.095,1406.496
705,0.15,0.06,1459.3756799999999
706,0.145,0.07,1302.22274
707,0.145,0.065,1262.5612999999998
708,0.167,0.08,1386.48648
709,0.1475,0.085,1213.6367999999998
710,0.1535,0.08,1338.43372
711,0.146,0.085,1402.95008
712,0.1535,0.075,1465.0218799999998
713,0.149,0.1,1443.1012399999997
714,0.1455,0.065,1486.7433
715,0.1505,0.075,1474.20392
716,0.1545,0.09,1580.5071
717,0.1495,0.08,1462.48144
718,0.147,0.1,1524.5711999999999
719,0.1505,0.105,1658.3247999999999
720,0.144,0.1,1579.54464
721,0.152,0.075,1653.45568
722,0.1515,0.085,1650.47136
723,0.146,0.095,1590.72352
724,0.1515,0.11,1750.5260399999997
725,0.1425,0.045,1559.2272
726,0.155,0.075,1817.47646
727,0.1415,0.07,1578.9856
728,0.1435,0.09,1714.02874
729,0.15,0.085,1838.5714799999998
730,0.139,0.085,1803.85772
731,0.1445,0.095,1930.484
732,0.1495,0.115,2074.1476000000002
733,0.159,0.08,2129.9628
734,0.1505,0.1,2047.8272
735,0.151,0.075,2000.7665
736,0.161,0.09,1989.02376
737,0.156,0.08,1779.29208
738,0.153,0.025,1940.4759599999998
739,0.146,0.09,1743.1939399999999
740,0.136,0.08,1612.69378
741,0.13,0.075,1522.31158
742,0.1395,0.115,1507.65696
743,0.151,0.095,1651.9030400000001
744,0.1455,0.07,1693.1306399999999
745,0.1465,0.065,1580.87744
746,0.141,0.085,1526.09856
747,0.15,0.07,1708.33632
748,0.1395,0.135,1530.44448
749,0.1515,0.07,1656.02496
750,0.146,0.09,1523.4188999999997
751,0.142,0.08,1339.8288400000001
752,0.1515,0.055,1316.2273799999998
753,0.1345,0.08,1150.5947999999999
754,0.148,0.08,1105.4896600000002
755,0.1425,0.045,1188.3743999999997
756,0.145,0.06,1174.40304
757,0.1535,0.08,1245.9259200000001
758,0.1385,0.085,1236.9900400000001
759,0.152,0.08,1434.0737599999998
760,0.1465,0.08,1503.5871
761,0.1475,0.055,1616.62336
762,0.1425,0.08,1450.3076999999998
763,0.148,0.06,1581.2570999999998
764,0.1425,0.035,1599.62784
765,0.15,0.09,1563.0893999999998
766,0.1495,0.125,1554.5315999999998
767,0.134,0.1,1250.38088
768,0.144,0.065,1508.3658
769,0.138,0.135,1315.6567199999997
770,0.148,0.085,1553.7882
771,0.1535,0.05,1708.02976
772,0.1425,0.085,1632.4944
773,0.147,0.07,1557.9153000000001
774,0.148,0.06,1640.60864
775,0.149,0.115,1511.3536
